"","year","label","value_avg_ideology","value_avg_party","value_avg_scaled_ideology","value_avg_scaled_party","cor_avg_ideo","cor_avg_party","cor_with_ideo_scaled","cor_with_party_scaled","first_common_year","last_common_year","in_common_window","cosine_base","sorting_base","cosine_rebase","sorting_rebase","year0"
"1",1980,"LGBTQ",0.201567651848039,0.164313283694403,-0.105699320093931,-0.866219184690547,NA,NA,NA,NA,1988,2024,FALSE,-0.0509076673073387,-0.288545845759089,-0.0547916527865919,NA,0
"2",1981,"LGBTQ",0.173953702044197,0.138630995909532,-0.70208792373422,-1.52621038544289,NA,NA,NA,NA,1988,2024,FALSE,-0.0509076673073387,-0.288545845759089,-0.651180256426881,NA,1
"3",1982,"LGBTQ",0.181736152134123,0.146326915007869,-0.534007494277311,-1.32843832832903,NA,NA,NA,NA,1988,2024,FALSE,-0.0509076673073387,-0.288545845759089,-0.483099826969973,NA,2
"4",1983,"LGBTQ",0.201467836719457,0.154449695775291,-0.107855064041467,-1.11969665091129,NA,NA,NA,NA,1988,2024,FALSE,-0.0509076673073387,-0.288545845759089,-0.0569473967341287,NA,3
"5",1984,"LGBTQ",0.19693679496254,0.169231093773198,-0.205713635004313,-0.739839813578281,NA,NA,NA,NA,1988,2024,FALSE,-0.0509076673073387,-0.288545845759089,-0.154805967696974,NA,4
"6",1985,"LGBTQ",0.180396904499397,0.133305233323563,-0.562931716725617,-1.66307344349595,NA,NA,NA,NA,1988,2024,FALSE,-0.0509076673073387,-0.288545845759089,-0.512024049418278,NA,5
"7",1986,"LGBTQ",0.190507118716071,0.12785703531705,-0.34457771152106,-1.80308288402456,NA,NA,NA,NA,1988,2024,FALSE,-0.0509076673073387,-0.288545845759089,-0.293670044213721,NA,6
"8",1987,"LGBTQ",0.209537442190589,0.143500011328948,0.0664271655216078,-1.40108495424843,NA,NA,NA,NA,1988,2024,FALSE,-0.0509076673073387,-0.288545845759089,0.117334832828947,NA,7
"9",1988,"LGBTQ",0.204104611710255,0.164008688462586,-0.0509076673073387,-0.874046765102152,0.208114417661618,0.065998700055479,-0.288545845759089,-0.713686881240987,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0,0,8
"10",1989,"LGBTQ",0.177753267284695,0.13712640971103,-0.620027319426705,-1.56487569673069,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,-0.569119652119366,NA,9
"11",1990,"LGBTQ",0.170675363131699,0.122892550238277,-0.772891411832567,-1.93066172340612,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,-0.721983744525228,NA,10
"12",1991,"LGBTQ",0.198868366306359,0.145014859520248,-0.163996780126434,-1.36215592716533,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,-0.113089112819095,NA,11
"13",1992,"LGBTQ",0.209664260155292,0.185467369663596,0.0691660996264128,-0.322595084042824,0.30224383096706,0.196902952816395,0.437338683973307,0.196394965927672,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.120073766933751,0.725884529732396,12
"14",1993,"LGBTQ",0.202573228443213,0.161966570962506,-0.0839815134886023,-0.926525718388763,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,-0.0330738461812636,NA,13
"15",1994,"LGBTQ",0.219406808249328,0.166703005642547,0.279579484708023,-0.804807387142321,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.330487152015361,NA,14
"16",1995,"LGBTQ",0.189170403615091,0.15847666328175,-0.373447237909049,-1.01621042171546,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,-0.32253957060171,NA,15
"17",1996,"LGBTQ",0.211555033045989,0.182483752393582,0.110001815345949,-0.399268983234221,0.287121692825267,0.204322157387598,0.320723422620466,0.247975287103443,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.160909482653287,0.609269268379555,16
"18",1997,"LGBTQ",0.203387332711209,0.162105400119929,-0.0663990049718326,-0.922958044703499,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,-0.0154913376644939,NA,17
"19",1998,"LGBTQ",0.225132297601323,0.168634538045206,0.403234978545378,-0.755170283142804,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.454142645852716,NA,18
"20",1999,"LGBTQ",0.210645512144564,0.163786386843648,0.0903585587949823,-0.879759539355028,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.141266226102321,NA,19
"21",2000,"LGBTQ",0.233032240273355,0.189717236198494,0.573852938398257,-0.213380728184038,0.255081594761312,0.149669402019352,0.0736443141991116,-0.131985482003367,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.624760605705596,0.3621901599582,20
"22",2001,"LGBTQ",0.21686284072676,0.149648666319398,0.224636484910184,-1.24307495824841,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.275544152217523,NA,21
"23",2002,"LGBTQ",0.204423173270472,0.129783918548038,-0.0440275764322118,-1.75356525584511,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.00688009087512689,NA,22
"24",2003,"LGBTQ",0.224758180059617,0.168614684227133,0.395155024758242,-0.755680492565711,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.44606269206558,NA,23
"25",2004,"LGBTQ",0.248807248785651,0.209314072275698,0.914551584042674,0.290224693649134,0.245200841893884,0.155416753480305,-0.0025516950684896,-0.092028336810656,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.965459251350012,0.285994150690599,24
